Site;Name;Number_name;MAP;MAT;AI;Soil_Temp;Water_activity;Water_content;SOM;pH;TOC;TC;TN;C_N;NH4;PO43;SO42;Sand;Silt;Clay;Litter;L_TC;L_TN;BB;FB;alpha;beta;xyl;cbh;gla;fos;leu;phe;Respiration;altitude;landcover;s275.295;s350.400;SR;E2.E3;E3.E4;E4.E6;FI;BIX;Peak_A;Peak_C;Peak_M;Peak_T;Peak_B;HIX;LTC_LTN;xylcbh;alphabeta;Aridity
SP05;T-SP5-a;101-SP05-A;265.177;16.9802;0.16;30.35;0.568;1.23;0.0194;7.68;0.008;0.042;0.0012;36.5565;4.36;6.04;66.56;0.238;0.574;0.188;10.47;0.0049;0.2979;0.00154;0.1411;0.0145;0.0393;0.05;0.0122;0.0028;0.0691;0.0421;0.6858;0.00386453;283;Barren;-0.018345145;-0.013950974;1.3149723;5.2228578;4.1224191;9.5576199;1.8112862;0.74058657;0.34301013;0.15974708;0.14725995;0.16038139;0.1401178;4.05781;0.016448473;0.0622;0.0538;0.84
SP05;T-SP5-b;102-SP05-B;265.177;16.9802;0.16;28.375;0.71;1.4;0.0193;7.76;0.0068;0.0407;0.0011;37.9907;6.22;4.77;27.91;0.238;0.574;0.188;7.36;0.0066;0.4007;0.00236;0.1496;0.0122;0.0322;0.0299;0.0108;0.0034;0.0982;0.1406;0.2116;0.00352156;283;Barren;-0.01703264;-0.01845913;0.922721713;5.64000905;5.34510738;19.1917762;1.68467499;0.515779637;1.3459832;0.650339026;0.60280595;0.293316312;0.167856802;10.0918628;0.016471175;0.0407;0.0444;0.84
SP05;T-SP5-c;103-SP05-C;265.177;16.9802;0.16;29.725;0.721;1.51;0.008;7.67;0.0076;0.0418;0.0012;35.4153;169.5;6.04;132.63;0.238;0.574;0.188;54.58;0.0076;0.3764;0.00352;0.0924;0.0122;0.0361;0.0416;0.0117;0.0099;0.1668;0.0644;0.5076;0.00673433;283;Barren;-0.014874186;-0.012528867;1.1871932;4.1611953;3.6138789;10.836662;1.6468549;0.50751514;0.30175376;0.14545256;0.12537206;0.1483716;0.10840862;4.711297;0.020191286;0.0533;0.0483;0.84
SP05;T-SP5-d;104-SP05-D;265.177;16.9802;0.16;29.25;0.57;2.95;0.019;7.73;0.005;0.0331;9.00E-04;36.7333;60.66;3.42;104.56;0.238;0.574;0.188;23.22;0.005;0.3622;0.00171;0.1574;0.011;0.0311;0.0147;0.0051;0.0077;0.1778;0.0352;0.4318;0.01269674;283;Barren;-0.020195748;-0.016738857;1.206519;7.8591171;5.383386;-20.991181;1.6672023;0.65522365;0.38137831;0.17288838;0.15853194;0.14488938;0.12171281;4.8561924;0.013804528;0.0198;0.0421;0.84
SP05;T-SP5-e;105-SP05-E;265.177;16.9802;0.16;27.825;0.542;1.05;0.0212;7.72;0.0087;0.0419;0.0013;31.75;4.76;5;27.42;0.238;0.574;0.188;8.67;0.0094;0.3956;0.00196;0.2465;0.0162;0.0457;0.0236;0.0081;0.0216;0.6575;0.0297;0.6427;0.00687708;283;Barren;-0.015050867;-0.016203349;0.928873814;4.84073507;4.54941988;14.6699651;1.59635393;0.56824785;2.65576798;1.30928317;1.24327246;0.674722921;0.383172135;9.54548941;0.023761375;0.0317;0.0619;0.84
SP06;G-SP6-a;116-SP06-A;859.2783;9.1914;0.7;14.85;0.993;30.59;0.236;6.24;0.1229;0.1303;0.0089;14.6348;46.46;44.45;37.19;0.4838;0.1138;0.4025;740.58;0.0099;0.4545;0.0103;4.5268;0.0187;0.1345;0.0241;0.0156;0.0481;0.1384;0.2439;3.3156;0.03074589;1096;Deciduous Broadleaf Forests;-0.019906978;-0.021416169;0.928704634;6.38602788;6.53162373;-6.251560167;1.517626393;0.387254396;2.86867099;1.953017677;1.807591023;0.860057958;0.677995297;6.2727906;0.021782178;0.0397;0.1532;0.3
SP06;G-SP6-b;117-SP06-B;859.2783;9.1914;0.7;15.075;0.992;34.76;0.4271;5.89;0.1732;0.195;0.0125;15.6218;85.05;64.91;56.11;0.4838;0.1138;0.4025;643.78;0.013;0.4586;0.0111;8.5301;0.0038;0.0604;0.0105;0.0119;0.038;0.422;0.1821;2.8901;0.03422657;1096;Deciduous Broadleaf Forests;-0.022029197;-0.02189561;1.00610109;6.98394975;6.90781824;-103.350698;1.53302027;0.385836851;1.87760654;1.3656085;1.28754149;0.932343583;0.903285212;3.55100247;0.028347143;0.0224;0.0642;0.3
SP06;G-SP6-c;118-SP06-C;859.2783;9.1914;0.7;15.125;0.991;31.41;0.4033;6.25;0.1485;0.1681;0.0107;15.7869;304.72;77.02;52.04;0.4838;0.1138;0.4025;561.38;0.0112;0.4642;0.0219;7.4207;0.0063;0.0535;0.0248;0.0109;0.0386;0.4302;0.169;2.8064;0.03039737;1096;Deciduous Broadleaf Forests;-0.019906978;-0.021416169;0.928704634;6.38602788;6.53162373;-6.251560167;1.517626393;0.387254396;2.86867099;1.953017677;1.807591023;0.860057958;0.677995297;6.2727906;0.024127531;0.0357;0.0598;0.3
SP06;G-SP6-d;119-SP06-D;859.2783;9.1914;0.7;14.7;0.99;31.54;0.3557;5.89;0.1599;0.1758;0.0105;16.7927;86.35;67.4;59.55;0.4838;0.1138;0.4025;655.29;0.0086;0.4649;0.0226;9.6385;0.0067;0.045;0.0202;0.0104;0.052;0.3878;0.1812;2.0767;0.03141365;1096;Deciduous Broadleaf Forests;-0.018747249;-0.021305871;0.879909987;6.15845977;6.44919239;54.6945038;1.49429785;0.384465376;3.22582769;2.12184848;1.94661914;0.758625015;0.557016891;7.77820956;0.018498602;0.0306;0.0517;0.3
SP06;G-SP6-e;120-SP06-E;859.2783;9.1914;0.7;14.7;0.992;30.92;0.3821;6.32;0.2257;0.2352;0.0141;16.706;119.14;62.11;94.2;0.4838;0.1138;0.4025;646.23;0.0138;0.4611;0.0231;12.5344;0.0128;0.0895;0.02;0.011;0.0555;0.5394;0.6049;3.8675;0.02589573;1096;Deciduous Broadleaf Forests;-0.018944488;-0.021047026;0.900102825;6.01567412;6.23786056;29.9015137;1.52556106;0.391460962;3.50257874;2.37159605;2.18861244;0.889205277;0.573683787;7.48915977;0.029928432;0.031;0.1023;0.3
SP07;G-SP7-a;121-SP07-A;1003.9939;9.4308;1;13.75;0.989;33.5;0.1154;4.53;0.0549;0.0549;0.0044;12.5675;24.71;17.42;18.19;0.2105;0.474;0.3155;1285.61;0.0191;0.4779;0.00548;0.7325;0.001;0.0057;0.017;0.0029;0.0161;0.1309;0.0136;0.9693;0.03185012;803;Deciduous Broadleaf Forests;-0.037150944;-0.027178221;1.36693805;15.4409923;13.5398482;-5.8692327;1.96562259;0.568042099;2.58573525;1.33329458;1.13243423;0.589138779;0.53945437;8.30404743;0.03996652;0.0199;0.0067;0
SP07;G-SP7-b;122-SP07-B;1003.9939;9.4308;1;13.725;0.99;43;0.1856;4.53;0.0908;0.0908;0.0065;13.9892;59.67;27.47;41.53;0.2105;0.474;0.3155;1512.34;0.0137;0.4559;0.00944;0.9011;0.0037;0.0175;0.0075;0.0014;0.0588;0.7705;0.0245;2.539;0.04102674;803;Deciduous Broadleaf Forests;-0.031580349;-0.025132395;1.25655949;11.6155934;10.6249803;-107.88619;1.76270915;0.54592619;1.53616646;0.909303005;0.80565931;0.415744451;0.330812166;6.28946125;0.03005045;0.0089;0.0212;0
SP07;G-SP7-c;123-SP07-C;1003.9939;9.4308;1;13.8;0.991;43.71;0.1879;4.21;0.0944;0.0944;0.0068;13.9174;44.4;34.05;43.62;0.2105;0.474;0.3155;1335.7;0.0148;0.4697;0.0165;0.8645;0.0045;0.0224;0.0141;0.0025;0.0712;0.7064;0.0427;1.8083;0.05231782;803;Deciduous Broadleaf Forests;-0.024817947;-0.024097593;1.02989318;8.8095105;8.93538936;-175.152501;1.77476859;0.494890208;2.45851082;1.45412094;1.25653721;0.579387186;0.274043831;9.60394119;0.031509474;0.0166;0.0269;0
SP07;G-SP7-d;124-SP07-D;1003.9939;9.4308;1;14.125;0.99;35.68;0.1442;3.82;0.069;0.069;0.005;13.8317;35.13;21.83;20.32;0.2105;0.474;0.3155;1688.27;0.0137;0.4821;0.00884;0.6748;0.0017;0.0098;0.015;0.0027;0.0328;0.6103;0.0175;3.0098;0.03588999;803;Deciduous Broadleaf Forests;-0.028259443;-0.025733363;1.09816364;10.345117;10.4749762;-14.1015814;1.77189633;0.525059879;2.16695134;1.31773262;1.16177461;0.521193315;0.25562614;8.82492609;0.028417341;0.0177;0.0115;0
